Entity,Apr_Temp,April Per POP,DEPENDENT GROWTH RATE,Gov_Health_Spending_US_Thousands,Prepaid_Private_Health_Spending_US_Thousands,Out_Pocket_Health_Spending_US_Thousands,2019_Life_Expectancy,Child_Mortality_Rate_Percent,Maternal_Mortality_Per_100000,DALY_Per_100000,Deaths_HIV_AIDS,New_Cases_HIV_AIDS,People_Living_With_HIV_AIDS_x10,Region,Population,Area (sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Apr_precip
Italy,9.61,0.00190207,0.875920198,129157639,4559434,40712600,83.512,0.33,4,17021.8347,660.565174,7141.39882,21259.9,WESTERN EUROPE,58133509,301230,2.52,2.07,5.94,26700,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,21,291,688,79
Jamaica,24.25,1.60E-05,8.818181818,581276,154758,163068,74.475,1.53,89,28122.2914,439.50761,1279.97309,1911.61543,LATIN AMER. & CARIB,2758124,10991,9.3,-4.92,12.36,3900,87.9,124,16.07,10.16,73.77,2,20.82,6.52,49,337,615,126.7
Japan,8.7,1.71E-05,5.56795225,463732140,16911412,71069515,84.629,0.27,5,16214.1081,206.797891,1462.75022,2888.66957,ASIA (EX. NEAR EAST),127463611,377835,7.87,0,3.26,28200,99,461.2,12.19,0.96,86.85,3,9.37,9.16,17,258,725,124.16
Jordan,17.72,4.71E-05,0.651079137,1595146,502410,961302,74.526,1.76,58,23676.318,22.9285026,53.6817224,52.4881563,NEAR EAST,5906760,92300,0.03,6.59,17.35,4300,91.3,104.5,2.67,1.83,95.5,1,21.25,2.65,33,287,0.68,8.79
Kazakhstan,8.24,2.49E-05,8.465789474,3249962,252193,1690216,73.597,1.14,12,31859.5395,258.184606,2502.00058,1450.54745,C.W. OF IND. STATES,15233244,2717300,0,-3.35,29.21,6300,98.4,164.1,7.98,0.05,91.97,4,16,9.42,67,386,547,23.55
Kenya,25.45,2.33E-06,4.074074074,1819801,693174,1144233,66.699,4.92,510,45177.7048,48502.4961,92787.4424,177235.009,SUB-SAHARAN AFRICA,34707817,582650,0.09,-0.1,61.47,1000,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,163,188,651,138.85
Kuwait,24.21,0.000131079,12.80757098,5503005,77,904186,75.489,0.84,4,18712.6275,5.41850818,15.3712581,33.5030564,NEAR EAST,2418393,17820,2.8,14.18,9.95,19000,83.5,211,0.73,0.11,99.16,1,21.94,2.41,4,479,516,16.56
Kyrgyzstan,3.18,2.13E-05,5.810810811,202507,48,276706,71.45,2.11,76,30701.8337,186.539499,903.832945,590.221998,C.W. OF IND. STATES,5213898,198500,0,-2.45,35.64,1600,97,84,7.3,0.35,92.35,2.5,22.8,7.08,353,208,439,57.44
Latvia,4.96,0.000196067,0.950672646,1114785,15557,830015,75.292,0.46,18,27056.6096,126.449612,457.624904,371.708365,BALTICS,2274735,64589,0.82,-2.23,9.55,10200,99.8,321.4,29.67,0.47,69.86,3,9.24,13.66,0.04,261,699,38.11
Lebanon,14,0.000123643,0.521920668,2406398,762302,1571472,78.93,0.81,15,24477.9035,112.503977,254.303287,218.095543,NEAR EAST,3874050,10400,2.16,0,24.52,4800,87.4,255.6,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67,50.48
